sparsity,performance,config_list
0.6,0.6773,"[{""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11223720116026985}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13868815034188473}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17316593443610193}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.21144342646450873}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2631883630630796}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3604491634120692}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3760750090021195}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.46987246535792665}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.48045685338705385}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5028594497380635}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5321432130997477}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5355553560388738}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.600001026962834}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6754662811940533}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.775491038648476}]"
0.6,0.683,"[{""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.029483293846015377}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08938386230121796}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12731255136977554}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17993404367743823}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2585570749825806}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3181533367859518}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.39825790701666997}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4088087322913805}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4159675727957735}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.418779264304034}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4745580263904262}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5011733436163613}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5932692187365853}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6090942314538033}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.669685553481741}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7696972775983582}]"
0.6,0.7591,"[{""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.055677064870072825}, {""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0892840828581415}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10433118355497074}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11031697839651418}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1413610396394956}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.19270647203131291}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.24777528278348074}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.28772475528204006}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.31621674850514153}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3273117514709584}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.33169053834303536}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3736138127807539}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.49977407006922364}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5013188715391245}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5490299811676976}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7957856126303889}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8282627308904892}]"
0.6,0.7796,"[{""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.013392985105215765}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10224489060443108}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1128328068268778}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14183587796827182}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1425379315197007}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.15771394275007328}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.199561853345695}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.22261903763045895}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.26347875968534074}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.41515989679684484}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.44228865981898186}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5256474677716059}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5763533984638557}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6692877600096505}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7167650654441992}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7347930167376655}]"
0.6,0.7757,"[{""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.025868037701468196}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.029357221757202567}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09977356656771341}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11306257271290636}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1433288373484748}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.21920489930032563}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.30032256511323585}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3033871274695571}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.342455801897032}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.35539891485100833}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4370160044759017}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.44710353219157634}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.627907027929369}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6449567544691686}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6610140392511319}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8019347347080629}]"
0.6,0.7411,"[{""op_names"": [""layer3.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0004995941892454245}, {""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.058507102642578156}, {""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06512624614781061}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09454592764762625}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10178613178421551}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10906236046369451}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14302356608712394}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.20888704439004174}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.24801092095647936}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.3386350643974922}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4076623508459008}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4276762035110312}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4966013755991089}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5235651945913516}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5470313592000362}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5543705706248541}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7169904076758549}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.8160199209325638}]"
0.6,0.5617,"[{""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.048514395084622255}, {""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11269306983610876}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13261676943223458}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13582586593747797}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.16817319235196018}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.17343612289951357}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2269350361180204}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.23311253773959487}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2817062587416925}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5169481972769245}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5336643163458695}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5344622988938272}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.563994741241002}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6129767291636299}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6287646124945012}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6358407441033901}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7281895376728704}]"
0.6,0.707,"[{""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.005700378454460076}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04770699224624134}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10580860435553653}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14461257337498612}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1704869292213325}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.28571966069177895}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.28855247253011274}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2994824875863136}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4255949750939478}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5404524375202118}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5789076087526467}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5858361572590944}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5930827809542035}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5935763717702023}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6792348480512869}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7199569311459653}]"
0.6,0.7714,"[{""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.002640330264672907}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.050477405249385446}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06098803443252762}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12153307187267084}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.18210497091219802}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.27021411324937156}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.32837142485813875}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.39018490372574477}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.4563930979604635}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5003290088756323}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5168796210040082}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6338589562907379}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6359494464439065}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6480393842687899}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7635229042903026}]"
0.6,0.7422,"[{""op_names"": [""layer3.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.029197762893061172}, {""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.048771859844401896}, {""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06680980959387307}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09699084679605063}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10310159086892551}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10985066147100762}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.16091964127297656}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.21958095265004587}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2967944104711422}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.2999374846980739}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.34979924642107457}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.39843941136887595}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.44954144466333784}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.523510158841414}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.5745002813008416}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.6233237672150448}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7345177828599738}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.7394771796991997}]"
