sparsity,performance,config_list
0.5,0.7926,"[{""sparsity"": 0.05965188499067379, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1271369689082363, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14450954344990313, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14598962345954877, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1798474023948722, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.20765296211881587, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23769207601070252, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2888221100838515, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.30032532753013713, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3126372874380253, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3678827969099143, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.47727250218011835, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.559324109946653, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5994245991282375, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6332610899747977, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.7451,"[{""sparsity"": 0.0054728683831346304, ""op_names"": [""layer3.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.045430393876808445, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0478633734531666, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0583131736109456, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07104976025723653, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10728116652559153, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2766489818707294, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.28297948393307926, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.312169693843566, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.33150937669705394, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3423122082236542, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.43535404792507176, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4372611023444036, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4647261667315963, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4841026721395354, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4898416709912159, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.584111045946152, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5932598863811858, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.7518,"[{""sparsity"": 0.052703511051579645, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.059148222249257774, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11541965856930933, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12234228354174125, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13410628857542556, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14167827867124, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2591291569600704, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.37146054386673166, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3777409373328792, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4264569057109722, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.43773503085565, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.44877638345785875, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5222850196616006, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5373214517919755, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5427621805855567, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5868029879894979, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.8258,"[{""sparsity"": 0.01982682313533692, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.04903584743056777, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.05246748358991572, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07736429515278542, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13746713153538523, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13876620361796965, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14631820067617032, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.17405809879864012, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2324179199409972, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.34473172262832724, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.345280272825167, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3665444334731225, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.46928791226114064, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.548092743371916, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5507938970280868, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6992111160689286, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.799,"[{""sparsity"": 0.09034062949330665, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10349378284276671, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12613333881464842, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12666574287330398, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12697092233351326, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.13608949210291435, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1587770593791222, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.18386825224405998, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.21230855111442565, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.22973967325087805, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2631110465897641, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2756815315313818, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.35277269728107, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.55393574566764, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6320606822902954, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7395934091407562, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.747,"[{""sparsity"": 0.03404400151773776, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.051153769044661394, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09437404486718734, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.11700910945142622, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14955589097049607, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.15458012451970016, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.16271156598968967, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1822028684909554, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23893283560123163, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.24094766033237003, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3223308585290125, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3270031978525295, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.34824030915454546, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.37865245508474993, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5027728114969232, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6185112447115941, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7220726524213811, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.8375,"[{""sparsity"": 0.015300458480400281, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.023221918937043756, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.02543960498455984, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.027364948203489555, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.048046246637615746, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07118235499946694, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.07178818087919642, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.147597463975464, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2258879319222357, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.259938973184018, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3262600859838017, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.41380110120774, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4591348126892161, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5478947525629406, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.560418273026067, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.727780014986656, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.8428,"[{""sparsity"": 0.011622940355240837, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.025388729429022313, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.0455722051009905, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.060169218861795035, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06233713349298966, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.083452672862982, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10890029306629527, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1752827809078936, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2225820170462679, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.25273611321412087, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.40667854822174276, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4297740558078118, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.49695679685513255, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5935512954694855, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7975129061035442, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.815,"[{""sparsity"": 0.020969758832711835, ""op_names"": [""layer3.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.025503056758068344, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.05397000909468118, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.06575311765573803, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09405430398187048, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09652004111459714, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12769013987187292, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.14729679745931418, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.15980600334430764, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.16941473348801192, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.18882053220255776, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.21274758677573175, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.2794307941107516, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3024215067446284, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.4367731685287769, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5549244379653157, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5601424850004432, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7669538099826412, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
0.5,0.8129,"[{""sparsity"": 0.0026668980531588493, ""op_names"": [""layer3.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.02675994863318032, ""op_names"": [""layer1.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.055196105507020095, ""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09763529996028314, ""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.09941434122281262, ""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.10376018813668188, ""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.12912076134202416, ""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1348949460850419, ""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1412789800227709, ""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.1440878424232606, ""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.21601903005053483, ""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.23063028951222844, ""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.24277028304131332, ""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.3111210737730542, ""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.39455990939299196, ""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.5626836946632545, ""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.6207953920777681, ""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""]}, {""sparsity"": 0.7216103921887201, ""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""]}]"
