sparsity,performance,config_list
0.1,0.8649,"[{""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.015054485898753005}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04661241433339583}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10222401399732736}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1050630057780934}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10606439667878616}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10868474319667192}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11821930174637994}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12802292105627164}]"
0.1,0.858,"[{""op_names"": [""layer1.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.003083175950389662}, {""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.013091390143178333}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03297995700295467}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.035203890691047644}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03555883849197076}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03600952498653641}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04712121796584062}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.047883408537407905}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.049528262840203466}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.058052024473411304}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06549816695630878}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08821219796002006}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09811583613530404}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10537153925924987}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10971795544362696}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1380056915513514}]"
0.1,0.866,"[{""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03679031625080099}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0395236722987089}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04031656421561105}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04088637986530057}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04680790890426279}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06565918733272508}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08262961622443936}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08874566723677033}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10338684395045959}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11638278057584092}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14799961437327513}]"
0.1,0.8671,"[{""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.02577843891175292}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03944106549572311}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.044048145779330736}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.045337483968166566}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.049953487221123215}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06443057723369526}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0736559287970287}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08083639294124066}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09738614755400905}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12152220650870657}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1544833164797299}]"
0.1,0.8663,"[{""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.033045571588850325}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06992947852692956}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0740897108922311}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07700242497834837}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.091529274670845}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09415701953624943}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12330271555247466}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1507059637893767}]"
0.1,0.8664,"[{""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.018748713992020893}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.029111416462517387}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.031175810198952172}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.034832593996983366}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03805058929380772}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03880755461289444}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03917703734754005}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.05514999579096361}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07729998276605339}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10797448769939225}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13973708918674563}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14192880479946948}]"
0.1,0.8674,"[{""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0003989240706265583}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.007970794413691765}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07771912165001332}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08834886371055675}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09802022787921011}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11516132115105197}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12064302205158248}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.14494264744653415}]"
0.1,0.8665,"[{""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.009973564901877306}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.011291694817017993}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03107439458013792}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.039107803150181863}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.043947983667896}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0632319813691072}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08004362951771737}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0990046027220219}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10293246786799858}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13141308767151175}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13450336794046017}]"
0.1,0.8667,"[{""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0023813427562702936}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0025949414480983405}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.007413783249444842}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.008134696314696354}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.008621537854970392}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.024357071559619442}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.025300326046079815}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04512646155238025}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04903690981743976}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.05648340238427286}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0752555078797627}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10792398120093753}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.12953448413329177}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.15430804629653275}]"
0.1,0.8669,"[{""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.005015974057788099}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.005133480248999458}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.013789056984540532}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.017013858007798536}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.018662277315889226}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.021638152239832}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.030085660766612583}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04171599579425025}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04520814346154236}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07946677867285175}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10156511862472208}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10296082552707038}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.11505181955283647}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1545768624064606}]"
0.1,0.8608,"[{""op_names"": [""layer1.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.009193852297034132}, {""op_names"": [""layer1.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.014508264587078315}, {""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.02640337967342798}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.028288065580572636}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.031241172785423647}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03205269234691308}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.03229660635374597}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.05541864119553832}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.07617561457657246}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08198992918466899}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09196473721781913}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09618462769829093}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.09691666884428778}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.111376442235271}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.13873067322089322}]"
0.1,0.8662,"[{""op_names"": [""layer2.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.007327017653264552}, {""op_names"": [""layer4.0.downsample.0""], ""op_types"": [""Conv2d""], ""sparsity"": 0.011659980258818557}, {""op_names"": [""layer2.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.01464576203393004}, {""op_names"": [""layer2.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.028170846884709392}, {""op_names"": [""layer2.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.04690491914682523}, {""op_names"": [""layer3.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.0652479772243533}, {""op_names"": [""layer3.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.06735572182225688}, {""op_names"": [""layer3.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08468982695699369}, {""op_names"": [""layer3.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.08488092789754911}, {""op_names"": [""layer4.0.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1039819346718966}, {""op_names"": [""layer4.0.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10907151573754689}, {""op_names"": [""layer4.1.conv1""], ""op_types"": [""Conv2d""], ""sparsity"": 0.10979550216133652}, {""op_names"": [""layer4.1.conv2""], ""op_types"": [""Conv2d""], ""sparsity"": 0.1285874705832726}]"
