sparsity,performance,config_list
0.7,0.5716,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.09111926445345316, ""op_names"": [""layer3.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1208068706559593, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14016844096627004, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.14680097912969556, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21198386261878255, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2263488281564297, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.23827843983391384, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.34993986892623863, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.37037970044141727, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4172136125986188, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.476915268752806, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5230422663286117, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5643307285188892, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5909239085969681, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6945847000004624, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7518157601390052, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8026289458758256, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8299295545761735, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.6157,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.08209949015135076, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.15886409149753214, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1822021873139081, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.19953373818802048, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2129335289417626, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.24444939127924015, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3209621616868695, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3328994427825997, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3392829848352032, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4263268048725544, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.43725983145210284, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5740840559956201, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6967169536985544, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7364229025981684, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7900056013173538, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.955774236127953, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.7004,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.022810525221553996, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.11151521976559106, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.12230448549930989, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1459283893959049, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1620063799252138, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21436372517057423, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2710707997210335, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.27304336210834057, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3039002234011526, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3089481269736096, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5042103553903287, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5231199690293931, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6341919865142146, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6355745825374145, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6552394548568373, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8870984128851936, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.9228239580815449, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.5752,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.01767994628225667, ""op_names"": [""layer3.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.03702663603836308, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.12680313321815753, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1418438651358213, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.154458958462922, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.18794992301980853, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21128671522174172, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.25512971909034493, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.25715502455989103, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3363898125920821, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3547550498934887, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5625124339594881, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6585759217183459, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6833777810244646, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6985937970307483, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7647607275227182, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7732721253511736, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8273324881892197, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.7591,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.03277261950135145, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.04161755494989902, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.050792857868285766, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.0853181015003166, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.11943042063836877, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.32720638323131984, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4835596232325457, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4871991634383999, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5059236275451583, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5060951779294789, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5856467306332814, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7843021899458633, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7876610922679496, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7924259684209684, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8150291022721241, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.7216,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.037436436742930436, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.04531168850976871, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1869890171520278, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.21805636392480385, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.22401966251094194, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3739437209096419, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.44053321179765087, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4505867393499972, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.462100960800228, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.496558138533192, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.593158803983447, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6195047444657403, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7626420405449323, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8098598511464613, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.9025222274975965, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.6931,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.005140874757465187, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.12924732597430108, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.23299118340075292, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.2986517892872765, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3112473483151063, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.428586775089719, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.45347392639391765, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4619646144556569, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.486627126187526, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.49645553351591776, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5082389814840804, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.529789099641618, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7989152796803903, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8011101379586191, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.9171608286556092, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.6597,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.008042742802689242, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.05348509728292168, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.15900907095758687, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1651308330784021, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.20251210352324983, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.26460937505827203, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4709736458442816, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.48806177981272153, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5176862825183891, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5543559701772399, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6067536229809277, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6076071705140725, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6562846381221289, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7433198102731241, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7448334179119099, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.8936910809501843, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.634,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.01930775162140258, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.0746633970419678, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.1687223789166939, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.17797899752301616, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.3836663195567321, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.4213048690129882, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5420014952436165, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5886502703901857, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6116560053378621, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6137549989867536, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6559715312512127, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.688429154483368, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7034042678909705, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7948597475461495, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.825991775710327, ""op_names"": [""layer4.1.conv2""]}]"
0.7,0.661,"[{""op_types"": [""Conv2d""], ""sparsity"": 0.052045346113598186, ""op_names"": [""layer1.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.05452626797561302, ""op_names"": [""layer1.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.07421126228376135, ""op_names"": [""layer1.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.08007835370092602, ""op_names"": [""layer1.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.10019117924537749, ""op_names"": [""layer2.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.282100349603713, ""op_names"": [""layer4.0.downsample.0""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.30894420665648203, ""op_names"": [""layer2.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.42695903517650197, ""op_names"": [""layer2.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5077481927305774, ""op_names"": [""layer2.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5102177289413975, ""op_names"": [""layer3.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5428817791786279, ""op_names"": [""layer3.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5547865841815732, ""op_names"": [""layer3.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.5704719164902485, ""op_names"": [""layer3.1.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.6833509660054202, ""op_names"": [""layer4.0.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.720422937937289, ""op_names"": [""layer4.0.conv2""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.7479977499109289, ""op_names"": [""layer4.1.conv1""]}, {""op_types"": [""Conv2d""], ""sparsity"": 0.9216960763571506, ""op_names"": [""layer4.1.conv2""]}]"
